2023-02-05|14:32|Groceries|Walmart|109.45
2024-08-08|09:15|Gas for car|Shell|42.12
2024-10-28|19:50|Online subscription renewal|Disney|30.99
2025-03-25|10:25|Dinner|Texas RoadHouse|80.34
2025-07-06|16:05|Kirby Blind Box|GameStop|5.99
2025-09-25|18:45|Louise Belcher costume|Amazon|45.78
2025-10-14|11:35:56|Coffee|Corner Bakery|5.99
2025-10-14|11:37:20|labubu|PopMart|28.99
2025-10-14|13:38:37|Coffe|Corner bakey|-5.99
2025-10-14|13:40:43|sweater|Walmart|18.12
2025-10-14|13:42:30|planner|japanese store|-30.09
2025-10-14|13:44:04|Bloom Energy drink|Target|-8.0
2025-10-14|13:45:08|Backpack|Walmart|15.78
2025-10-15|10:20:40.637984300|coffe|Starbucks|5.69
2025-10-15|10:28:18.942744800|quesadillas|mom|-0.0
2025-10-15|10:51:10.751932|crocs|nike|-50.99
2025-10-15|11:01:45|Book|Target|-10.29
